# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.7736,0.9535,0.9778,0.8542,0.9082,0.9088
2.0000,0.7736,0.8200,0.9000,0.7961,0.7745,0.8866
3.0000,0.7736,0.9111,0.9556,0.8367,0.9238,0.9268
4.0000,0.7736,0.9111,0.9556,0.8367,0.8534,0.9069
5.0000,0.7736,0.8542,0.9222,0.8119,0.8600,0.8966
6.0000,0.7736,0.8542,0.9222,0.8119,0.8841,0.8998
7.0000,0.7736,0.8542,0.9222,0.8119,0.8691,0.9027
8.0000,0.7736,0.8367,0.9111,0.8039,0.8482,0.9017
9.0000,0.7736,0.8367,0.9111,0.8039,0.8376,0.8891
10.0000,0.7736,0.8723,0.9333,0.8200,0.9075,0.9090
